name,teaser_description,latitude,longitude,image_url,era,region,discovery_year,credibility_level,is_alternative,site_type_id,is_user_submitted,is_deleted,year_built,full_description,info_url
Mohenjo‑Daro,Indus Valley city famed for grid streets and advanced drainage.,27.3294,68.1386,https://upload.wikimedia.org/wikipedia/commons/3/32/Mohenjo-daro_Sindh.jpeg,Bronze Age,Pakistan,1922,High,FALSE,2,FALSE,FALSE,-2500,"Mohenjo‑Daro—""Mound of the Dead""—was built c. 2500 BCE on the Indus floodplain. Its orthogonal street grid, baked‑brick houses and covered drains attest to unprecedented civic engineering. Granaries, assembly halls and a ""Great Bath"" indicate centralized authority and ritual purity. Standardized weights reveal extensive trade with Mesopotamia while stamp seals hint at complex administration. Rapid abandonment around 1900 BCE remains debated; shifting rivers and climate stress are prime suspects. UNESCO conservation teams now combat salt bloom and monsoon erosion threatening the unbaked brick superstructure. The site is crucial for understanding urbanism without kings or monumental temples.",https://en.wikipedia.org/wiki/Mohenjo-daro
Newgrange,Irish passage tomb that floods with light at winter solstice dawn.,53.6947,-6.4758,https://upload.wikimedia.org/wikipedia/commons/2/22/Newgrange.jpg,Neolithic,Ireland,1699,High,FALSE,4,FALSE,FALSE,-3200,"Newgrange, part of Brú na Bóinne, predates Stonehenge and the pyramids. A 19‑m passage leads to a cruciform chamber capped by a corbelled roof that remains waterproof after 5,000 years. Above the entrance, a roof‑box allows sunrise on the winter solstice to pierce the darkness—an early feat of astronomical alignment. Kerbstones display spirals and lozenges whose meaning still sparks debate. DNA studies suggest elite dynastic burials linking multiple Boyne tombs. Visitor numbers are limited by lottery to protect the monument’s micro‑climate. The tomb continues to inspire with its fusion of engineering, art and cosmology.",https://en.wikipedia.org/wiki/Newgrange
Derinkuyu Underground City,Multi‑level subterranean refuge carved deep into Cappadocian tuff.,38.3747,34.7306,https://upload.wikimedia.org/wikipedia/commons/6/63/Derinkuyu_underground_city.jpg,Classical,Turkey,1963,High,FALSE,2,FALSE,FALSE,-800,"Derinkuyu plunges 60 m below Cappadocia’s surface, containing ventilation shafts, wine presses, stables and chapels across 18 levels. Rolling‑stone doors could seal tunnels against invaders, likely Arab raiders or earlier Persian forces. Scholars estimate capacity at 20,000 people plus livestock for months at a time. Frescoes attest to Byzantine Christian use, while Hittite glyphs may hint at earlier origins. Modern mapping with ground‑penetrating radar suggests extensions still blocked by collapse. The Turkish Ministry of Culture manages controlled tourism to prevent CO₂ buildup and wall exfoliation. Derinkuyu exemplifies ingenious adaptation to volatile frontiers.",https://en.wikipedia.org/wiki/Derinkuyu_underground_city
Nan Madol,"Canal‑linked islets of basalt columns dubbed the ""Venice of the Pacific.""",6.838,158.236,https://upload.wikimedia.org/wikipedia/commons/4/4f/Nan_Madol.jpg,Classical,Micronesia,1874,High,FALSE,2,FALSE,FALSE,1200,"Nan Madol consists of 92 artificial islets built atop coral reef off Pohnpei. Prism‑shaped basalt columns form walls up to 8 m tall, enclosing tombs and ritual platforms of the Saudeleur dynasty. Archaeomagnetic dating places initial construction around 1180 CE with expansion through 1500 CE. The city lacks fresh water or farmland, implying elite ceremonial use supported by mainland tribute. Local legend claims sorcerers levitated stones, a myth echoing logistical marvels. UNESCO adds Nan Madol to its danger list due to mangrove encroachment and looting. Ongoing sonar surveys explore submerged causeways extending the complex underwater.",https://en.wikipedia.org/wiki/Nan_Madol
Çatalhöyük,Dense Neolithic settlement of mud‑brick homes entered through rooftops.,37.6667,32.8261,https://upload.wikimedia.org/wikipedia/commons/e/e3/Catalhoyuk.jpg,Neolithic,Turkey,1958,High,FALSE,2,FALSE,FALSE,-7100,"Çatalhöyük sprawled over 13 ha on the Konya Plain from 7100–6000 BCE. Houses packed wall‑to‑wall lacked streets; residents traversed rooftops and ladders. Wall paintings show hunting scenes and the world’s earliest map. Burials beneath floors reveal ancestral veneration, with skulls plastered and painted. Obsidian trade connected the community to Cappadocian sources 200 km away. Isotopic analysis differentiates diets between east and west mounds, hinting at social changes. The site pioneered open‑air conservation shelters and community‑driven heritage education.",https://en.wikipedia.org/wiki/Çatalhöyük
Caral,Oldest known city in the Americas featuring sunken circular plazas.,-10.8922,-77.5208,https://upload.wikimedia.org/wikipedia/commons/5/55/Caral.jpg,Preceramic,Peru,1994,High,FALSE,2,FALSE,FALSE,-2600,"Caral, in Peru’s Supe Valley, thrived between 2600–2000 BCE parallel to Egyptian pyramid building. Monumental platform mounds flank sunken plazas where quipu‑like knotted textiles suggest early information systems. Excavations found no warfare evidence but rich musical artifacts such as flutes made from pelican bones. Irrigated cotton and trading fisheries supported a non‑agricultural economy fueling urban growth. Radiocarbon and architectural sequencing reveal coordinated building episodes reflecting centralized planning. UNESCO designation in 2009 spurred sustainable tourism programs with local communities.",https://en.wikipedia.org/wiki/Caral
Hattusa,Capital of the Hittite Empire encircled by cyclopean walls and lion gate.,40.0181,34.6209,https://upload.wikimedia.org/wikipedia/commons/1/16/Hattusa.jpg,Bronze Age,Turkey,1834,High,FALSE,2,FALSE,FALSE,-1600,"Hattusa commands a loop of 6 km walls punctuated by sphinx and lion gates. Royal archives yielded over 30,000 cuneiform tablets detailing diplomacy, law and mythology, including the earliest Indo‑European text. A standout is the Egypt‑Hatti peace treaty with Ramses II. Rock sanctuary Yazılıkaya nearby depicts Hittite deities in procession carved into cliffs. Excavations show the city burned in 1200 BCE amid Bronze Age collapse. German Archaeological Institute conserves mud‑brick parapets using traditional clay plaster, blending research with heritage skills training.",https://en.wikipedia.org/wiki/Hattusa
Lothal,Indus port city boasting a brick dockyard and bead workshops.,22.5225,72.2462,https://upload.wikimedia.org/wikipedia/commons/a/a4/Lothal.jpg,Bronze Age,India,1954,High,FALSE,2,FALSE,FALSE,-2400,"Lothal sits on Gujarat’s Sabarmati river delta and features the earliest known tidal dock, 218 m long. Bead furnaces produced carnelian goods exported across Mesopotamia. Streets exhibit right‑angle drains feeding a central sewer. Fire altars and game boards suggest ritual and leisure facets of urban life. Recent satellite imagery identifies paleo‑channels confirming maritime access. The Archaeological Survey of India plans a site museum upgrade highlighting maritime heritage.",https://en.wikipedia.org/wiki/Lothal
Harappa,Major Indus Valley city with standardized baked‑brick architecture.,30.6333,72.8758,https://upload.wikimedia.org/wikipedia/commons/f/f9/Harappa.jpg,Bronze Age,Pakistan,1826,High,FALSE,2,FALSE,FALSE,-2600,"Harappa’s twin mounds once held granaries, assembly halls and residential blocks served by covered drains. Rosette seals and unicorn motifs show shared iconography with Mohenjo‑Daro. Faience ornaments and shell bangles attest to craft specialization and distant trade. Bioarchaeology reveals diverse diets and low rates of violence compared to contemporaries. Post‑urban phases saw smaller hamlets adapting to drying Saraswati river systems. Heritage management now combats illegal brick removal and urban encroachment.",https://en.wikipedia.org/wiki/Harappa
Mount Kailash,"Sacred Tibetan peak venerated by Hindus, Buddhists and Jains.",31.0675,81.3119,https://upload.wikimedia.org/wikipedia/commons/3/39/Mount_Kailash.jpg,Mythical,Tibet,Unknown,Speculative,TRUE,6,FALSE,FALSE,Natural Formation,"Mount Kailash rises 6,638 m and is considered the axis mundi in Hindu, Buddhist and Jain cosmology. Pilgrims circumambulate the peak’s 52 km kora route to erase sins, while climbing is forbidden out of reverence. The source glaciers of four major Asian rivers flow from its slopes. Myth links the mountain to Shiva’s abode and the mythical kingdom of Shambhala. Chinese authorities manage access, issuing limited permits and monitoring environmental impact. Climate change threatens retreat of Kailash’s glaciers, altering pilgrimage water sources.",https://en.wikipedia.org/wiki/Mount_Kailash
Gunung Padang,Indonesian hill whose buried terraces may predate known pyramids.,-6.9945,107.4916,https://example.com/images/gunung_padang.jpg,Mythical,Indonesia,1914,Moderate,TRUE,5,FALSE,FALSE,-5000,"Gunung Padang’s summit hosts columnar basalt terraces interpreted as a Neolithic stepped pyramid. Core drilling claims underlying chambers and carbon dates of 20,000 BCE, challenging orthodox timelines. Critics argue samples are slope colluvium, not cultural layers. Geopolymer studies detected possible cemented stonework, intensifying controversy. The Indonesian government established a task force for multidisciplinary investigation under volcanic‑risk safeguards. Whether natural or modified, Gunung Padang stimulates debate on deep‑time human capabilities.",https://en.wikipedia.org/wiki/Gunung_Padang_Megalithic_Site
Puma Punku,Precision‑cut andesite blocks at Tiwanaku puzzle engineers today.,-16.5475,-68.6722,https://upload.wikimedia.org/wikipedia/commons/0/0d/Puma_Punku.jpg,Classical,Bolivia,1876,High,FALSE,5,FALSE,FALSE,-500,Puma Punku’s H‑shaped blocks fit together like jigsaw pieces with tolerances under half a millimetre. Stone source studies show quarry sites 10 km away and complex sled transport. Carved dovetails likely secured bronze clamps binding blocks. Radiocarbon from stratigraphy dates earliest construction to 536 CE within Tiwanaku’s expansion. Myths of pre‑Inca giants arose from the site’s shattered masonry. Laser scans inform virtual reconstructions suggesting a multi‑tiered pyramid with water features. Conservation focuses on re‑erecting dislocated blocks and mitigating freeze‑thaw damage.,https://en.wikipedia.org/wiki/Pumapunku
Tiwanaku,Andean city near Lake Titicaca with monumental gateways and sunken courts.,-16.5581,-68.6731,https://upload.wikimedia.org/wikipedia/commons/f/f8/Tiwanaku.jpg,Classical,Bolivia,1549,High,FALSE,2,FALSE,FALSE,-300,"Tiwanaku served as capital of a civilisation spanning Bolivia, Peru and Chile between 400‑1000 CE. The Kalasasaya temple and Gate of the Sun align with solar events, reflecting sophisticated astronomy. Agricultural raised‑field systems (suka kollus) boosted crop yields in high‑altitude wetlands. Isotope analysis of sacrificial camelids indicates long‑distance llama caravans feeding trade hubs. Tiwanaku collapsed amid megadroughts, but its cultural legacy influenced Inca statecraft. UNESCO and Bolivia collaborate on site drainage and visitor infrastructure upgrades.",https://en.wikipedia.org/wiki/Tiwanaku
Dendera Temple,Egyptian temple of Hathor famed for its vivid zodiac ceiling.,26.1375,32.6697,https://upload.wikimedia.org/wikipedia/commons/4/4e/Dendera.jpg,Ptolemaic,Egypt,1798,High,FALSE,1,FALSE,FALSE,-225,"The Dendera complex surged under Ptolemy XII and Roman emperors, preserving one of Egypt’s best painted interiors. The zodiac relief on a chapel ceiling blends Hellenistic astrology with traditional deities. Crypt passages beneath the floor bear ritual scenes once reserved for priests. Light soot deposits show torches—not mythical electric bulbs—illuminated the chambers, debunking fringe claims. French‑Egyptian teams use UV imaging to study pigment layers and stabilise salt‑laden sandstone. Dendera remains a key witness to late pharaonic religious revival under Greco‑Roman rule.",https://en.wikipedia.org/wiki/Dendera_Temple_complex
Abu Simbel,Rock‑cut temples of Ramses II relocated to avoid Lake Nasser.,22.3372,31.6258,https://upload.wikimedia.org/wikipedia/commons/9/9c/Abu_Simbel.jpg,New Kingdom,Egypt,1813,High,FALSE,1,FALSE,FALSE,-1244,"Abu Simbel’s twin temples honor Ramses II and queen Nefertari, featuring 20‑m seated colossi gazing over the Nile. Solar alignment lights the sanctuary twice a year, on Ramses’ coronation and birthday. In the 1960s UNESCO cut the temples into 1,000 blocks, reassembling them 65 m higher as part of the Aswan High Dam salvage campaign. Interior battle reliefs glorify Kadesh victory, while Nubian god images assert imperial reach. Modern LED lighting replicates solar hierophany for visitors during relocation anniversary festivals. The site exemplifies international heritage cooperation.",https://en.wikipedia.org/wiki/Abu_Simbel_temples
Serpent Mound,"1,348‑ft earthen effigy snake winding across an Ohio ridge.",39.025,-83.43,https://upload.wikimedia.org/wikipedia/commons/6/6b/Serpent_Mound.jpg,Woodland,USA,1846,High,FALSE,4,FALSE,FALSE,-300,"Serpent Mound likely dates to the Fort Ancient culture around 1070 CE, though Adena origins are debated. The serpent’s head aligns with summer solstice sunset, while coils may mark lunar phases. Magnetic surveys detected habitation areas and earlier Adena burials nearby. Conservation involves erosion control and discouraging foot traffic on the fragile embankment. A small crater beneath the ridge suggests a meteor impact shaping site topography. Serpent Mound remains a powerful symbol for contemporary Native American groups advocating for mound protection.",https://en.wikipedia.org/wiki/Serpent_Mound
Skara Brae,Neolithic stone village in Orkney preserved under sand dunes.,59.048,-3.233,https://upload.wikimedia.org/wikipedia/commons/3/32/Skara_Brae.jpg,Neolithic,Scotland,1850,High,FALSE,2,FALSE,FALSE,-3100,"Storm erosion in 1850 exposed Skara Brae’s eight interconnected houses complete with stone beds and dressers. Midden sediments insulated interiors, preserving artifacts like dice, beads and carved stone balls. Isotope studies of cattle teeth reveal winter foddering, indicating livestock management skills. Abandonment around 2500 BCE coincides with climatic cooling and dune advance. UNESCO and Historic Environment Scotland monitor rising sea levels threatening cliff‑edge structures. Skara Brae offers a snapshot of daily life in Orkney’s prehistoric farming communities.",https://en.wikipedia.org/wiki/Skara_Brae
Cahokia Mounds,Largest pre‑Columbian city north of Mexico with 30‑m Monks Mound.,38.6557,-90.0645,https://upload.wikimedia.org/wikipedia/commons/4/49/Cahokia.jpg,Mississippian,USA,1811,High,FALSE,2,FALSE,FALSE,1050,"Cahokia covered 16 sq km near present‑day St. Louis, peaking at 20,000 inhabitants around 1100 CE. Monks Mound’s four terraces required moving 1.5 million m³ of soil basket by basket. Woodhenge timber circles tracked solstices and equinoxes, guiding agricultural rituals. Elite burials contained shell beads, copper plates and ritual sacrifices. Deforestation and flooding from Little Ice Age–era climate shifts likely spurred decline. Archaeologists employ ground‑penetrating radar to map hidden borrow pits and house basins. Cahokia reshapes narratives of complex societies in temperate North America.",https://en.wikipedia.org/wiki/Cahokia
Borobudur,A nine‑tier Buddhist mandala rising from Java’s jungle floor.,-7.6079,110.2038,https://upload.wikimedia.org/wikipedia/commons/9/9b/Borobudur.jpg,Medieval,Indonesia,1814,High,FALSE,1,FALSE,FALSE,800,"Borobudur, built circa 800 CE by the Sailendra dynasty, consists of six square terraces capped by three circular rings of perforated stupas. Its 2,672 bas‑relief panels narrate Buddhist cosmology, stretching for five kilometres if laid end to end. Seventy‑two lattice stupas each house a serene Buddha statue gazing toward the surrounding Kedu Plain. Volcanic ash and jungle swallowed the monument after the 10th century until Sir Stamford Raffles ordered its clearing in 1814. UNESCO‑led restorations between 1975‑85 dismantled 1.3 million stones to install drainage and concrete ring beams. Micro‑climate studies now monitor lichen growth and visitor humidity that threaten delicate carvings. Pilgrims circumambulate clockwise, symbolically ascending from the world of desire to enlightenment.",https://en.wikipedia.org/wiki/Borobudur
